,Unnamed: 0,subject,professor,lecture_type,time,building,building_room_number,parsed_times,latitude,longitude
10,10,C언어기초,최준용,일반,"수 9-A,수 9-B,금 8-A,금 8-B,금 9-A,금 9-B",전주:공과대학1호관,161,"[('Wednesday', datetime.time(17, 0), datetime.time(17, 30)), ('Wednesday', datetime.time(17, 30), datetime.time(18, 0)), ('Friday', datetime.time(16, 0), datetime.time(16, 30)), ('Friday', datetime.time(16, 30), datetime.time(17, 0)), ('Friday', datetime.time(17, 0), datetime.time(17, 30)), ('Friday', datetime.time(17, 30), datetime.time(18, 0))]",35.846595,127.132551
11,11,C언어기초,유소월,일반,"수 9-A,수 9-B,금 8-A,금 8-B,금 9-A,금 9-B",전주:공과대학1호관,158,"[('Wednesday', datetime.time(17, 0), datetime.time(17, 30)), ('Wednesday', datetime.time(17, 30), datetime.time(18, 0)), ('Friday', datetime.time(16, 0), datetime.time(16, 30)), ('Friday', datetime.time(16, 30), datetime.time(17, 0)), ('Friday', datetime.time(17, 0), datetime.time(17, 30)), ('Friday', datetime.time(17, 30), datetime.time(18, 0))]",35.846595,127.132551
12,12,C언어기초,정인숙,일반,"수 9-A,수 9-B,금 8-A,금 8-B,금 9-A,금 9-B",전주:공과대학1호관,246,"[('Wednesday', datetime.time(17, 0), datetime.time(17, 30)), ('Wednesday', datetime.time(17, 30), datetime.time(18, 0)), ('Friday', datetime.time(16, 0), datetime.time(16, 30)), ('Friday', datetime.time(16, 30), datetime.time(17, 0)), ('Friday', datetime.time(17, 0), datetime.time(17, 30)), ('Friday', datetime.time(17, 30), datetime.time(18, 0))]",35.846595,127.132551
13,13,C언어기초,조성현,일반,"수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B",전주:공과대학1호관,158,"[('Wednesday', datetime.time(12, 0), datetime.time(12, 30)), ('Wednesday', datetime.time(12, 30), datetime.time(13, 0)), ('Friday', datetime.time(11, 0), datetime.time(11, 30)), ('Friday', datetime.time(11, 30), datetime.time(12, 0)), ('Friday', datetime.time(12, 0), datetime.time(12, 30)), ('Friday', datetime.time(12, 30), datetime.time(13, 0))]",35.846595,127.132551
14,14,C언어기초,조성현,일반,"수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B",전주:공과대학1호관,158,"[('Wednesday', datetime.time(15, 0), datetime.time(15, 30)), ('Wednesday', datetime.time(15, 30), datetime.time(16, 0)), ('Friday', datetime.time(14, 0), datetime.time(14, 30)), ('Friday', datetime.time(14, 30), datetime.time(15, 0)), ('Friday', datetime.time(15, 0), datetime.time(15, 30)), ('Friday', datetime.time(15, 30), datetime.time(16, 0))]",35.846595,127.132551
15,15,C언어기초,송영호,일반,"수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B",전주:공과대학1호관,161,"[('Wednesday', datetime.time(15, 0), datetime.time(15, 30)), ('Wednesday', datetime.time(15, 30), datetime.time(16, 0)), ('Friday', datetime.time(14, 0), datetime.time(14, 30)), ('Friday', datetime.time(14, 30), datetime.time(15, 0)), ('Friday', datetime.time(15, 0), datetime.time(15, 30)), ('Friday', datetime.time(15, 30), datetime.time(16, 0))]",35.846595,127.132551
16,16,C언어기초,이지현,일반,"화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B",전주:공과대학5호관,507,"[('Tuesday', datetime.time(11, 0), datetime.time(11, 30)), ('Tuesday', datetime.time(11, 30), datetime.time(12, 0)), ('Thursday', datetime.time(9, 0), datetime.time(9, 30)), ('Thursday', datetime.time(9, 30), datetime.time(10, 0)), ('Thursday', datetime.time(10, 0), datetime.time(10, 30)), ('Thursday', datetime.time(10, 30), datetime.time(11, 0))]",35.847589,127.13122
17,17,C언어기초,정인숙,일반,"화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B",전주:공과대학1호관,158,"[('Tuesday', datetime.time(9, 0), datetime.time(9, 30)), ('Tuesday', datetime.time(9, 30), datetime.time(10, 0)), ('Tuesday', datetime.time(10, 0), datetime.time(10, 30)), ('Tuesday', datetime.time(10, 30), datetime.time(11, 0)), ('Thursday', datetime.time(11, 0), datetime.time(11, 30)), ('Thursday', datetime.time(11, 30), datetime.time(12, 0))]",35.846595,127.132551
18,18,C언어기초,송영호,일반,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B",전주:공과대학1호관,158,"[('Monday', datetime.time(11, 0), datetime.time(11, 30)), ('Monday', datetime.time(11, 30), datetime.time(12, 0)), ('Monday', datetime.time(12, 0), datetime.time(12, 30)), ('Monday', datetime.time(12, 30), datetime.time(13, 0)), ('Wednesday', datetime.time(11, 0), datetime.time(11, 30)), ('Wednesday', datetime.time(11, 30), datetime.time(12, 0))]",35.846595,127.132551
19,19,C언어기초,유소월,일반,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B",전주:공과대학1호관,161,"[('Monday', datetime.time(11, 0), datetime.time(11, 30)), ('Monday', datetime.time(11, 30), datetime.time(12, 0)), ('Monday', datetime.time(12, 0), datetime.time(12, 30)), ('Monday', datetime.time(12, 30), datetime.time(13, 0)), ('Wednesday', datetime.time(11, 0), datetime.time(11, 30)), ('Wednesday', datetime.time(11, 30), datetime.time(12, 0))]",35.846595,127.132551
20,20,C언어기초,이중열,일반,"화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B",전주:공과대학1호관,246,"[('Tuesday', datetime.time(9, 0), datetime.time(9, 30)), ('Tuesday', datetime.time(9, 30), datetime.time(10, 0)), ('Tuesday', datetime.time(10, 0), datetime.time(10, 30)), ('Tuesday', datetime.time(10, 30), datetime.time(11, 0)), ('Thursday', datetime.time(11, 0), datetime.time(11, 30)), ('Thursday', datetime.time(11, 30), datetime.time(12, 0))]",35.846595,127.132551
21,21,C언어기초,이중열,일반,"화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B",전주:공과대학1호관,161,"[('Tuesday', datetime.time(11, 0), datetime.time(11, 30)), ('Tuesday', datetime.time(11, 30), datetime.time(12, 0)), ('Thursday', datetime.time(9, 0), datetime.time(9, 30)), ('Thursday', datetime.time(9, 30), datetime.time(10, 0)), ('Thursday', datetime.time(10, 0), datetime.time(10, 30)), ('Thursday', datetime.time(10, 30), datetime.time(11, 0))]",35.846595,127.132551
22,22,C언어기초,최성호,일반,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B",전주:공과대학1호관,158,"[('Tuesday', datetime.time(14, 0), datetime.time(14, 30)), ('Tuesday', datetime.time(14, 30), datetime.time(15, 0)), ('Tuesday', datetime.time(15, 0), datetime.time(15, 30)), ('Tuesday', datetime.time(15, 30), datetime.time(16, 0)), ('Thursday', datetime.time(16, 0), datetime.time(16, 30)), ('Thursday', datetime.time(16, 30), datetime.time(17, 0))]",35.846595,127.132551
23,23,GIS공간분석중급,김유정,일반,"화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B",전주:공과대학9호관,913,"[('Tuesday', datetime.time(16, 0), datetime.time(16, 30)), ('Tuesday', datetime.time(16, 30), datetime.time(17, 0)), ('Thursday', datetime.time(14, 0), datetime.time(14, 30)), ('Thursday', datetime.time(14, 30), datetime.time(15, 0)), ('Thursday', datetime.time(15, 0), datetime.time(15, 30)), ('Thursday', datetime.time(15, 30), datetime.time(16, 0))]",35.847639,127.133651
24,24,Glocal-IT세미나 1,임동구,블렌디드러닝,"목 7-A,목 7-B",전주:공과대학7호관,329,"[('Thursday', datetime.time(15, 0), datetime.time(15, 30)), ('Thursday', datetime.time(15, 30), datetime.time(16, 0))]",35.846049,127.134447
25,25,IAB공학과법,신봉근,일반,"화 3-A,화 3-B,화 4-A,목 1-B,목 2-A,목 2-B",전주:공과대학4호관,126,"[('Tuesday', datetime.time(11, 0), datetime.time(11, 30)), ('Tuesday', datetime.time(11, 30), datetime.time(12, 0)), ('Tuesday', datetime.time(12, 0), datetime.time(12, 30)), ('Thursday', datetime.time(9, 30), datetime.time(10, 0)), ('Thursday', datetime.time(10, 0), datetime.time(10, 30)), ('Thursday', datetime.time(10, 30), datetime.time(11, 0))]",35.847517,127.132559
26,26,IT융복합종합설계,김정무,일반,"월 8-A,월 8-B,월 9-A,월 9-B,월 10-A,월 10-B,수 8-A,수 8-B",전주:공과대학8호관,205,"[('Monday', datetime.time(16, 0), datetime.time(16, 30)), ('Monday', datetime.time(16, 30), datetime.time(17, 0)), ('Monday', datetime.time(17, 0), datetime.time(17, 30)), ('Monday', datetime.time(17, 30), datetime.time(18, 0)), ('Monday', datetime.time(18, 0), datetime.time(18, 30)), ('Monday', datetime.time(18, 30), datetime.time(19, 0)), ('Wednesday', datetime.time(16, 0), datetime.time(16, 30)), ('Wednesday', datetime.time(16, 30), datetime.time(17, 0))]",35.848319,127.133363
27,27,IT융복합종합설계,김정자,일반,"수 10-A,수 10-B,수 11-A,수 11-B,수 12-A,수 12-B,금 8-A,금 8-B,금 9-A,금 9-B,금 10-A,금 10-B",전주:공과대학1호관,302,"[('Wednesday', datetime.time(18, 0), datetime.time(18, 30)), ('Wednesday', datetime.time(18, 30), datetime.time(19, 0)), ('Wednesday', datetime.time(19, 0), datetime.time(19, 30)), ('Wednesday', datetime.time(19, 30), datetime.time(20, 0)), ('Wednesday', datetime.time(20, 0), datetime.time(20, 30)), ('Wednesday', datetime.time(20, 30), datetime.time(21, 0)), ('Friday', datetime.time(16, 0), datetime.time(16, 30)), ('Friday', datetime.time(16, 30), datetime.time(17, 0)), ('Friday', datetime.time(17, 0), datetime.time(17, 30)), ('Friday', datetime.time(17, 30), datetime.time(18, 0)), ('Friday', datetime.time(18, 0), datetime.time(18, 30)), ('Friday', datetime.time(18, 30), datetime.time(19, 0))]",35.846595,127.132551
28,28,IoT를위한인공지능반도체,이윤경,일반,"수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B",전주:공과대학5호관,303,"[('Wednesday', datetime.time(15, 0), datetime.time(15, 30)), ('Wednesday', datetime.time(15, 30), datetime.time(16, 0)), ('Friday', datetime.time(14, 0), datetime.time(14, 30)), ('Friday', datetime.time(14, 30), datetime.time(15, 0)), ('Friday', datetime.time(15, 0), datetime.time(15, 30)), ('Friday', datetime.time(15, 30), datetime.time(16, 0))]",35.847589,127.13122
29,29,JAVA프로그래밍,이지현,일반,"화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B",전주:공과대학5호관,507,"[('Tuesday', datetime.time(16, 0), datetime.time(16, 30)), ('Tuesday', datetime.time(16, 30), datetime.time(17, 0)), ('Thursday', datetime.time(14, 0), datetime.time(14, 30)), ('Thursday', datetime.time(14, 30), datetime.time(15, 0)), ('Thursday', datetime.time(15, 0), datetime.time(15, 30)), ('Thursday', datetime.time(15, 30), datetime.time(16, 0))]",35.847589,127.13122
30,30,JAVA프로그래밍및실습 1,우선미,일반,"토 1-A,토 1-B,토 2-A,토 2-B,토 3-A,토 3-B,토 4-A,토 4-B",전주:공과대학5호관,507,"[('Saturday', datetime.time(9, 0), datetime.time(9, 30)), ('Saturday', datetime.time(9, 30), datetime.time(10, 0)), ('Saturday', datetime.time(10, 0), datetime.time(10, 30)), ('Saturday', datetime.time(10, 30), datetime.time(11, 0)), ('Saturday', datetime.time(11, 0), datetime.time(11, 30)), ('Saturday', datetime.time(11, 30), datetime.time(12, 0)), ('Saturday', datetime.time(12, 0), datetime.time(12, 30)), ('Saturday', datetime.time(12, 30), datetime.time(13, 0))]",35.847589,127.13122
31,31,JBNU-KIST산학연융합세미나 2,김민수,일반,"월 8-A,월 8-B,월 9-A,월 9-B,월 10-A,월 10-B",전주:공과대학9호관,305,"[('Monday', datetime.time(16, 0), datetime.time(16, 30)), ('Monday', datetime.time(16, 30), datetime.time(17, 0)), ('Monday', datetime.time(17, 0), datetime.time(17, 30)), ('Monday', datetime.time(17, 30), datetime.time(18, 0)), ('Monday', datetime.time(18, 0), datetime.time(18, 30)), ('Monday', datetime.time(18, 30), datetime.time(19, 0))]",35.847639,127.133651
32,32,JIANT-IT세미나 1(JIANT-IT Seminar 1),임동구,블렌디드러닝,"목 8-A,목 8-B,목 9-A,목 9-B",전주:공과대학7호관,329,"[('Thursday', datetime.time(16, 0), datetime.time(16, 30)), ('Thursday', datetime.time(16, 30), datetime.time(17, 0)), ('Thursday', datetime.time(17, 0), datetime.time(17, 30)), ('Thursday', datetime.time(17, 30), datetime.time(18, 0))]",35.846049,127.134447
33,33,K-이론,황원태,일반,"수 6-A,수 6-B,수 7-A,수 7-B,수 8-A,수 8-B",전주:자연과학대학본관,417,"[('Wednesday', datetime.time(14, 0), datetime.time(14, 30)), ('Wednesday', datetime.time(14, 30), datetime.time(15, 0)), ('Wednesday', datetime.time(15, 0), datetime.time(15, 30)), ('Wednesday', datetime.time(15, 30), datetime.time(16, 0)), ('Wednesday', datetime.time(16, 0), datetime.time(16, 30)), ('Wednesday', datetime.time(16, 30), datetime.time(17, 0))]",35.847417,127.130748
34,34,LED응용공학및실험,소홍섭,일반,"화 8-A,화 8-B,화 9-A,화 9-B,목 6-A,목 6-B,목 7-A,목 7-B",전주:공과대학5호관,513,"[('Tuesday', datetime.time(16, 0), datetime.time(16, 30)), ('Tuesday', datetime.time(16, 30), datetime.time(17, 0)), ('Tuesday', datetime.time(17, 0), datetime.time(17, 30)), ('Tuesday', datetime.time(17, 30), datetime.time(18, 0)), ('Thursday', datetime.time(14, 0), datetime.time(14, 30)), ('Thursday', datetime.time(14, 30), datetime.time(15, 0)), ('Thursday', datetime.time(15, 0), datetime.time(15, 30)), ('Thursday', datetime.time(15, 30), datetime.time(16, 0))]",35.847589,127.13122
35,35,Python 프로그래밍 1,우선미,일반,"목 11-A,목 11-B,목 12-A,목 12-B,목 13-A,목 13-B",전주:공과대학5호관,507,"[('Thursday', datetime.time(19, 0), datetime.time(19, 30)), ('Thursday', datetime.time(19, 30), datetime.time(20, 0)), ('Thursday', datetime.time(20, 0), datetime.time(20, 30)), ('Thursday', datetime.time(20, 30), datetime.time(21, 0)), ('Thursday', datetime.time(21, 0), datetime.time(21, 30)), ('Thursday', datetime.time(21, 30), datetime.time(22, 0))]",35.847589,127.13122
36,36,RNA바이러스특론,정병훈,일반,"금 5-A,금 5-B,금 6-A,금 6-B,금 7-A,금 7-B",전주:자연과학대학4호관,412,"[('Friday', datetime.time(13, 0), datetime.time(13, 30)), ('Friday', datetime.time(13, 30), datetime.time(14, 0)), ('Friday', datetime.time(14, 0), datetime.time(14, 30)), ('Friday', datetime.time(14, 30), datetime.time(15, 0)), ('Friday', datetime.time(15, 0), datetime.time(15, 30)), ('Friday', datetime.time(15, 30), datetime.time(16, 0))]",35.846644,127.130729
37,37,R프로그래밍,한경수,일반,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B",전주:자연과학대학본관,218,"[('Monday', datetime.time(14, 0), datetime.time(14, 30)), ('Monday', datetime.time(14, 30), datetime.time(15, 0)), ('Monday', datetime.time(15, 0), datetime.time(15, 30)), ('Monday', datetime.time(15, 30), datetime.time(16, 0)), ('Wednesday', datetime.time(14, 0), datetime.time(14, 30)), ('Wednesday', datetime.time(14, 30), datetime.time(15, 0))]",35.847417,127.130748
38,38,Start-up결실관리(영농창업),최동근,일반,"월 6-A,월 6-B,월 7-A,월 7-B,월 8-A,월 8-B,월 9-A,월 9-B",전주:농업생명과학대학2호관,217-1,"[('Monday', datetime.time(14, 0), datetime.time(14, 30)), ('Monday', datetime.time(14, 30), datetime.time(15, 0)), ('Monday', datetime.time(15, 0), datetime.time(15, 30)), ('Monday', datetime.time(15, 30), datetime.time(16, 0)), ('Monday', datetime.time(16, 0), datetime.time(16, 30)), ('Monday', datetime.time(16, 30), datetime.time(17, 0)), ('Monday', datetime.time(17, 0), datetime.time(17, 30)), ('Monday', datetime.time(17, 30), datetime.time(18, 0))]",35.849073,127.132036
39,39,新식품가공학,김영수,블렌디드러닝,"목 11-A,목 11-B,목 12-A,목 12-B,목 13-A,목 13-B",전주:농업생명과학대학4호관,423,"[('Thursday', datetime.time(19, 0), datetime.time(19, 30)), ('Thursday', datetime.time(19, 30), datetime.time(20, 0)), ('Thursday', datetime.time(20, 0), datetime.time(20, 30)), ('Thursday', datetime.time(20, 30), datetime.time(21, 0)), ('Thursday', datetime.time(21, 0), datetime.time(21, 30)), ('Thursday', datetime.time(21, 30), datetime.time(22, 0))]",35.848465,127.135489
40,40,가공역학,오성훈,일반,"수 11-A,수 11-B,수 12-A,수 12-B,수 13-A,수 13-B",전주:공과대학4호관,126,"[('Wednesday', datetime.time(19, 0), datetime.time(19, 30)), ('Wednesday', datetime.time(19, 30), datetime.time(20, 0)), ('Wednesday', datetime.time(20, 0), datetime.time(20, 30)), ('Wednesday', datetime.time(20, 30), datetime.time(21, 0)), ('Wednesday', datetime.time(21, 0), datetime.time(21, 30)), ('Wednesday', datetime.time(21, 30), datetime.time(22, 0))]",35.847517,127.132559
41,41,가금생산학,김동욱,일반,"수 8-A,수 8-B,수 9-A,수 9-B,수 10-A,수 10-B",전주:농업생명과학대학3호관,405,"[('Wednesday', datetime.time(16, 0), datetime.time(16, 30)), ('Wednesday', datetime.time(16, 30), datetime.time(17, 0)), ('Wednesday', datetime.time(17, 0), datetime.time(17, 30)), ('Wednesday', datetime.time(17, 30), datetime.time(18, 0)), ('Wednesday', datetime.time(18, 0), datetime.time(18, 30)), ('Wednesday', datetime.time(18, 30), datetime.time(19, 0))]",35.848656,127.134553
42,42,가금영양학,김동욱,일반,"수 5-A,수 5-B,수 6-A,수 6-B,수 7-A,수 7-B",전주:농업생명과학대학3호관,405,"[('Wednesday', datetime.time(13, 0), datetime.time(13, 30)), ('Wednesday', datetime.time(13, 30), datetime.time(14, 0)), ('Wednesday', datetime.time(14, 0), datetime.time(14, 30)), ('Wednesday', datetime.time(14, 30), datetime.time(15, 0)), ('Wednesday', datetime.time(15, 0), datetime.time(15, 30)), ('Wednesday', datetime.time(15, 30), datetime.time(16, 0))]",35.848656,127.134553
43,43,가로설계,김현숙,일반,"월 5-A,월 5-B,월 6-A,월 6-B,월 7-A,월 7-B,수 8-A,수 8-B,수 9-A,수 9-B,수 10-A,수 10-B",전주:공과대학9호관,915,"[('Monday', datetime.time(13, 0), datetime.time(13, 30)), ('Monday', datetime.time(13, 30), datetime.time(14, 0)), ('Monday', datetime.time(14, 0), datetime.time(14, 30)), ('Monday', datetime.time(14, 30), datetime.time(15, 0)), ('Monday', datetime.time(15, 0), datetime.time(15, 30)), ('Monday', datetime.time(15, 30), datetime.time(16, 0)), ('Wednesday', datetime.time(16, 0), datetime.time(16, 30)), ('Wednesday', datetime.time(16, 30), datetime.time(17, 0)), ('Wednesday', datetime.time(17, 0), datetime.time(17, 30)), ('Wednesday', datetime.time(17, 30), datetime.time(18, 0)), ('Wednesday', datetime.time(18, 0), datetime.time(18, 30)), ('Wednesday', datetime.time(18, 30), datetime.time(19, 0))]",35.847639,127.133651
44,44,가스터빈엔진특론,최성만,일반,"화 6-A,화 6-B,화 7-A,화 7-B,화 8-A,화 8-B",전주:공과대학9호관,612,"[('Tuesday', datetime.time(14, 0), datetime.time(14, 30)), ('Tuesday', datetime.time(14, 30), datetime.time(15, 0)), ('Tuesday', datetime.time(15, 0), datetime.time(15, 30)), ('Tuesday', datetime.time(15, 30), datetime.time(16, 0)), ('Tuesday', datetime.time(16, 0), datetime.time(16, 30)), ('Tuesday', datetime.time(16, 30), datetime.time(17, 0))]",35.847639,127.133651
45,45,가스화전환공학,이시훈,일반,"화 2-A,화 2-B,화 3-A,화 3-B,화 4-A,화 4-B",전주:공과대학2호관,309,"[('Tuesday', datetime.time(10, 0), datetime.time(10, 30)), ('Tuesday', datetime.time(10, 30), datetime.time(11, 0)), ('Tuesday', datetime.time(11, 0), datetime.time(11, 30)), ('Tuesday', datetime.time(11, 30), datetime.time(12, 0)), ('Tuesday', datetime.time(12, 0), datetime.time(12, 30)), ('Tuesday', datetime.time(12, 30), datetime.time(13, 0))]",35.846758,127.131632
46,46,가축마케팅및유통(영농창업),황인호,일반,"수 4-A,수 4-B,수 5-A,수 5-B,수 6-A,수 6-B,수 7-A,수 7-B",전주:농업생명과학대학3호관,406,"[('Wednesday', datetime.time(12, 0), datetime.time(12, 30)), ('Wednesday', datetime.time(12, 30), datetime.time(13, 0)), ('Wednesday', datetime.time(13, 0), datetime.time(13, 30)), ('Wednesday', datetime.time(13, 30), datetime.time(14, 0)), ('Wednesday', datetime.time(14, 0), datetime.time(14, 30)), ('Wednesday', datetime.time(14, 30), datetime.time(15, 0)), ('Wednesday', datetime.time(15, 0), datetime.time(15, 30)), ('Wednesday', datetime.time(15, 30), datetime.time(16, 0))]",35.848656,127.134553
47,47,가축번식학,김종국,일반,"화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B",전주:농업생명과학대학3호관,406,"[('Tuesday', datetime.time(16, 0), datetime.time(16, 30)), ('Tuesday', datetime.time(16, 30), datetime.time(17, 0)), ('Thursday', datetime.time(14, 0), datetime.time(14, 30)), ('Thursday', datetime.time(14, 30), datetime.time(15, 0)), ('Thursday', datetime.time(15, 0), datetime.time(15, 30)), ('Thursday', datetime.time(15, 30), datetime.time(16, 0))]",35.848656,127.134553
